scenario,year,t,restrict_share,fragment_share,open_share,tau,mu,access,q_star_gwh,q_real_gwh,eta,gap_gwh
open_steps,2024.08,1.08,0.16730271259929416,0.13682865293875462,0.8326972874007058,0.12,0.08,0.1,945.8943310622144,823.746762462324,0.8708655242042502,122.1475685998904
open_steps,2024.09,1.09,0.16716302351961476,0.13633229622641216,0.8328369764803852,0.12,0.08,0.1,947.928942264354,825.6521571369644,0.87100638067311,122.27678512738953
open_steps,2024.1,1.1,0.1670230200642732,0.13583748867087778,0.8329769799357268,0.12,0.08,0.1,949.9679298990484,827.5617175581035,0.8711470056110707,122.40621234094488
open_steps,2024.11,1.11,0.16688270461440058,0.1353442278034254,0.8331172953855994,0.12,0.08,0.1,952.0113033799693,829.4754521885975,0.8712873988404054,122.53585119137176
open_steps,2024.12,1.12,0.16674207954607712,0.13485251114361332,0.8332579204539229,0.12,0.08,0.1,954.0590721410371,831.3933695100154,0.8714275601868726,122.66570263102165
open_steps,2024.13,1.1300000000000001,0.16660114723029884,0.1343623361994008,0.8333988527697012,0.12,0.08,0.1,956.1112456364647,833.3154780226914,0.8715674894797095,122.79576761377325
open_steps,2024.14,1.1400000000000001,0.16645991003294483,0.13387370046726432,0.8335400899670552,0.12,0.08,0.1,958.1678333408006,835.2417862457729,0.8717071865516222,122.92604709502768
open_steps,2024.15,1.1500000000000001,0.16631837031474478,0.13338660143231376,0.8336816296852552,0.12,0.08,0.1,960.2288447489732,837.1723027172726,0.8718466512387778,123.05654203170059
open_steps,2024.16,1.16,0.16617653043124686,0.13290103656840815,0.8338234695687532,0.12,0.08,0.1,962.2942893763343,839.1070359941187,0.8719858833807965,123.18725338221554
open_steps,2024.17,1.17,0.16603439273278606,0.13241700333827122,0.8339656072672139,0.12,0.08,0.1,964.3641767587034,841.045994652205,0.8721248828207414,123.3181821064984
open_steps,2024.18,1.18,0.16589195956445282,0.13193449919360659,0.8341080404355472,0.12,0.08,0.1,966.438516452411,842.9891872864422,0.8722636494051118,123.44932916596883
open_steps,2024.19,1.19,0.16574923326606208,0.13145352157521278,0.8342507667339379,0.12,0.08,0.1,968.5173180343437,844.9366225108081,0.8724021829838324,123.58069552353561
open_steps,2024.2,1.2,0.16560621617212262,0.1309740679130979,0.8343937838278774,0.12,0.08,0.1,970.6005911019876,846.888308958399,0.8725404834102463,123.7122821435886
open_steps,2024.21,1.21,0.16546291061180687,0.130496135626594,0.8345370893881932,0.12,0.08,0.1,972.6883452734728,848.8442552814794,0.8726785505411042,123.84408999199343
open_steps,2024.22,1.22,0.16531931890892104,0.13001972212447124,0.834680681091079,0.12,0.08,0.1,974.7805901876184,850.8044701515344,0.8728163842365573,123.97612003608401
open_steps,2024.23,1.23,0.16517544338187554,0.12954482480505158,0.8348245566181245,0.12,0.08,0.1,976.877335503976,852.7689622593193,0.8729539843601464,124.10837324465672
open_steps,2024.24,1.24,0.16503128634365588,0.12907144105632243,0.8349687136563442,0.12,0.08,0.1,978.9785909028753,854.737740314912,0.8730913507787942,124.24085058796334
open_steps,2024.25,1.25,0.16488685010179388,0.12859956825604973,0.8351131498982061,0.12,0.08,0.1,981.0843660854679,856.7108130477627,0.8732284833627955,124.37355303770516
open_steps,2024.26,1.26,0.16474213695833922,0.12812920377189096,0.8352578630416607,0.12,0.08,0.1,983.1946707737726,858.688189206746,0.8733653819858073,124.50648156702664
open_steps,2024.27,1.27,0.16459714920983137,0.12766034496150772,0.8354028507901686,0.12,0.08,0.1,985.3095147107206,860.6698775602118,0.8735020465248404,124.63963715050875
open_steps,2024.28,1.28,0.1644518891472719,0.1271929891726779,0.8355481108527281,0.12,0.08,0.1,987.4289076601992,862.6558868960365,0.8736384768602495,124.77302076416277
open_steps,2024.29,1.29,0.16430635905609708,0.12672713374340783,0.8356936409439029,0.12,0.08,0.1,989.5528594070987,864.6462260216742,0.8737746728757233,124.90663338542447
open_steps,2024.3,1.3,0.16416056121615089,0.12626277600204386,0.8358394387838491,0.12,0.08,0.1,991.6813797573561,866.6409037642095,0.8739106344582759,125.04047599314663
open_steps,2024.31,1.31,0.1640144979016584,0.12579991326738366,0.8359855020983415,0.12,0.08,0.1,993.8144785380008,868.6399289704062,0.8740463614982359,125.17454956759457
open_steps,2024.32,1.32,0.16386817138119947,0.12533854284878734,0.8361318286188005,0.12,0.08,0.1,995.9521655972003,870.6433105067614,0.8741818538892375,125.3088550904389
open_steps,2024.33,1.33,0.16372158391768274,0.12487866204628809,0.8362784160823172,0.12,0.08,0.1,998.0944508043056,872.6510572595561,0.8743171115282106,125.44339354474948
open_steps,2024.34,1.34,0.16357473776832013,0.12442026815070255,0.8364252622316799,0.12,0.08,0.1,1000.241344049896,874.6631781349062,0.8744521343153703,125.57816591498988
open_steps,2024.35,1.35,0.16342763518460154,0.12396335844374087,0.8365723648153984,0.12,0.08,0.1,1002.392855245826,876.679682058816,0.8745869221542084,125.71317318701006
